case,pwin,ploss
361us431,1.0,2.923588340744118e-15
361us288,1.3745271440215344e-14,1.0
364us177,0.1507562817740882,0.8492437182259156
363us666,1.0,1.1848644568735667e-14
363us335,0.006833752902487014,0.9931662470975613
362us217,0.0022374226613855984,0.997762577338605
362us389,1.0,2.6035818514930503e-14
364us170,0.9999999996894076,3.10611946146247e-10
364us40,2.1834029906427391e-10,0.9999999997816076
362us390,1.0,2.4788018566703018e-15
363us299,1.0,4.1966314206500847e-16
363us709,5.946472558199998e-11,0.9999999999405418
364us92,1.0,2.1946613368011314e-15
362us482,0.01812202750435311,0.9818779724956725
363us603,0.019540815276188568,0.9804591847237962
361us314,1.7881905207553983e-14,1.0
362us525,0.9999999999990337,9.444331528781225e-13
361us340,2.925065672402887e-14,0.9999999999999432
361us354,9.44678803279615e-16,1.0
364us137,1.0,3.1414472374910246e-14
362us99,2.429610569045103e-12,0.9999999999976126
362us60,1.241378628356431e-12,0.9999999999987494
363us370,4.3203167490882104e-10,0.99999999956799
364us59,1.0,1.2707518745200924e-15
361us477,1.0,8.546408218782024e-15
362us539,8.470902717301808e-15,1.0
362us274,0.9999999999998863,6.8054796723873e-14
363us685,1.8952684256996515e-10,0.999999999810484
362us373,0.25393256863618185,0.7460674313638335
363us555,9.660908687017756e-12,0.9999999999903366
362us1,1.0,7.518797174117243e-16
362us396,5.808926806615212e-11,0.999999999941906
362us293,6.666848015422897e-13,0.9999999999993179
364us263,0.9999999999901092,9.836586042554178e-12
363us405,1.0,1.9180416502867955e-14
362us610,0.9999999999998863,1.1239194938741645e-13
362us511,1.0,2.2746823086092576e-16
363us144,1.0,2.386146769685656e-16
362us310,1.0,1.0646780488400945e-16
363us207,2.922558954418984e-13,0.9999999999997158
363us237,0.9999999999864713,1.3564452001102385e-11
364us206,2.0347785932898817e-14,1.0
363us641,1.0,3.6935732995637956e-14
363us166,1.7327229574513477e-09,0.9999999982672989
365us467,0.9999999999330385,6.694803600031712e-11
367us364,1.0,2.062840941388954e-15
366us599,1.0,1.2652226248840761e-18
367us568,1.0831623980277642e-14,1.0
365us715,3.463083678009336e-14,1.0
366us418,0.014777701567102166,0.9852222984329001
364us426,0.00782843672019143,0.9921715632798345
365us551,0.38450907472300816,0.615490925276996
364us410,0.9999999999968168,3.2091589370015213e-12
366us276,1.0,8.889877082807848e-15
365us312,1.5392492594644104e-13,0.9999999999998295
364us325,2.6268599485274428e-12,0.9999999999973852
364us372,1.0,9.902864394577652e-15
367us556,1.0,3.4618750653257844e-15
364us520,5.539394577701003e-10,0.999999999446004
366us82,1.0,2.4731892487966727e-18
364us642,3.102716835231326e-13,0.9999999999996589
367us886,1.0,2.8075643975792322e-15
366us161,1.0,3.8389083889442856e-14
364us361,1.0,1.5225776275597201e-15
366us617,5.134995263450493e-11,0.9999999999486135
365us695,0.9999999999984084,1.5669809801738524e-12
364us587,1.0,1.0705150943554087e-17
367us316,1.0,7.275804915858531e-17
365us160,2.4856345438354518e-14,1.0
364us631,0.010039501627909151,0.9899604983720341
365us265,1.0,2.7486512353288472e-17
365us705,0.86777022638891,0.13222977361108437
367us348,0.034404225559851634,0.9655957744401714
367us456,0.09495338681913644,0.9050466131808662
367us203,1.0,1.2573455347047629e-17
365us399,1.0,1.699768778887118e-14
366us213,6.718218606711658e-12,0.9999999999932925
365us301,1.0,1.9885454311285083e-14
366us36,0.9999999999998863,1.2206023901180186e-13
367us1,1.0,1.7262745634751552e-14
366us761,0.016646492362453802,0.9833535076375453
367us687,0.6624725052342373,0.3375274947657444
366us28,5.996884382526885e-11,0.999999999940087
366us745,0.9999999992860467,7.139021784917123e-10
366us117,0.2523192297481562,0.7476807702518566
365us431,1.0,2.0373342523511018e-14
369us186,7.29838261327225e-14,0.9999999999998863
365us731,9.3420634178862e-15,1.0
366us1,9.287230140067344e-13,0.9999999999990905
365us336,1.2665266435617865e-13,0.9999999999998863
366us712,3.842191346328265e-12,0.9999999999961346
367us497,1.0,9.506815376958852e-18
365us667,1.6399908852170688e-13,0.9999999999998863
365us624,9.93746425806217e-14,0.9999999999998863
364us479,9.038655289695928e-13,0.9999999999990905
365us381,1.0,7.486672951265165e-15
364us441,4.0939039190168634e-13,0.9999999999995453
365us85,1.0,1.6888232760367162e-17
365us1,3.063403788184711e-12,0.9999999999969305
364us350,1.649171593348951e-13,0.9999999999998863
365us604,0.002710097940609826,0.9972899020593857
367us421,8.45889511293829e-12,0.9999999999915303
366us316,2.1487214839107318e-13,0.9999999999997726
365us43,1.0,9.900514252784946e-16
367us643,5.716464416592431e-14,0.9999999999998863
369us400,0.9999999999987494,1.2915622289611019e-12
369us749,5.143047618869215e-11,0.9999999999486135
368us20,0.9999999999980673,1.9275868172621035e-12
372us353,4.505351595807443e-15,1.0
368us360,0.019650538411798462,0.9803494615882249
369us499,1.2257535298831666e-12,0.9999999999987494
368us487,5.3025116207811545e-15,1.0
368us324,3.04727733180331e-14,1.0
370us230,2.303636552697719e-14,1.0
374us109,3.9305347891286e-14,1.0
369us355,3.3771939521059044e-12,0.9999999999965894
369us463,1.6445191808259266e-14,1.0
370us31,1.3202831817921141e-15,1.0
370us269,1.0,5.733261473619501e-16
368us424,1.0,5.812805506109268e-16
369us599,1.0,1.2209456332776821e-14
368us403,0.9999999999976126,2.38742472222609e-12
370us421,0.6921721466079517,0.3078278533920489
368us464,3.066558014190789e-07,0.9999996933442405
370us49,0.005834221930452915,0.9941657780695465
369us705,3.412421320407321e-12,0.9999999999965894
368us81,1.0,2.716338791667191e-14
370us114,7.883292675804262e-05,0.9999211670732586
370us717,2.8376153374904332e-12,0.9999999999971578
370us165,0.014411297126133232,0.9855887028738601
369us111,0.008416496487521052,0.9915835035124865
369us482,3.126726851542274e-12,0.9999999999968168
368us448,0.037594009278507985,0.9624059907215036
368us208,1.0,4.324302326963435e-17
370us288,2.241964407277845e-13,0.9999999999997726
372us539,3.2431680836727206e-11,0.9999999999675993
368us139,1.0,4.712549856777959e-14
372us29,1.9654165354156584e-14,1.0
372us144,1.0,3.6630878557658746e-16
369us404,1.6907888317115808e-13,0.9999999999998863
370us375,3.7690459898011066e-13,0.9999999999996589
369us698,0.0018514211445419915,0.9981485788554484
370us451,0.9999999999998863,6.79243018034223e-14
370us478,1.0033937938875303e-12,0.9999999999989768
370us713,1.0317881635072204e-11,0.9999999999896545
369us153,1.0,1.2282663934376631e-15
370us660,3.177015395837246e-13,0.9999999999996589
370us650,0.29126865253491074,0.7087313474651
370us626,1.0,6.119606646345834e-16
370us530,0.9999999959580919,4.0418990953258364e-09
368us297,0.9999999999994316,5.867588617225235e-13
369us643,2.2122747334625776e-12,0.99999999999784
370us76,1.3999079826227168e-12,0.9999999999986358
369us134,1.732302611459948e-10,0.9999999998267413
368us25,0.017503393620459433,0.9824966063795583
369us527,4.7111790367355276e-14,1.0
368us231,2.5974958456670536e-13,0.9999999999997158
369us541,1.0,4.2679469861672276e-14
369us438,0.013922384712431466,0.9860776152875748
378us130,2.8625273535038607e-13,0.9999999999996589
371us471,8.742307379967436e-15,1.0
373us647,1.0,2.7813556453935567e-15
371us84,1.106874487319055e-09,0.999999998893145
373us132,2.539929177129479e-09,0.9999999974601224
373us503,1.0073889704588156e-14,1.0
372us391,1.0,1.4141449385918252e-14
373us427,1.0,1.6914921354655648e-15
372us487,5.023009704839798e-14,1.0
374us449,4.657661353651563e-12,0.9999999999953388
371us341,0.07959196086532716,0.9204080391346675
371us245,1.0,4.245320676933049e-14
373us690,4.2432396253065846e-14,1.0
372us658,1.0,3.029565584402312e-14
371us415,4.101167590067398e-13,0.9999999999995453
374us321,7.896118382604318e-11,0.9999999999209876
374us1,0.0008296361494713793,0.9991703638505414
372us253,6.617254219393846e-14,0.9999999999998863
372us128,0.9999999999998863,8.964639985191154e-14
373us372,0.02690736223547432,0.9730926377645399
371us285,3.8032157602652524e-12,0.9999999999962483
372us84,4.2623911592493355e-11,0.9999999999573674
372us108,3.260090597264374e-14,1.0
372us734,8.786147267515781e-13,0.9999999999990905
373us294,1.0,8.82259694170225e-16
371us392,3.562148144181577e-10,0.9999999996437623
373us701,4.21075519174653e-13,0.9999999999995453
372us293,0.006107472728798094,0.9938925272712295
371us296,5.686247400415906e-10,0.9999999994313384
373us33,0.9999999999986358,1.3218197238489777e-12
374us469,6.133311715648658e-09,0.9999999938667088
373us487,1.9490464865650482e-13,0.9999999999997726
376us1,4.2961102210610374e-13,0.9999999999995453
377us159,8.348055237562443e-13,0.9999999999992042
377us311,0.9999999999998863,9.910978639594323e-14
377us633,9.25538278562455e-16,1.0
375us261,6.996777343731896e-14,0.9999999999998863
375us233,8.750927646446049e-07,0.9999991249072614
377us713,7.48770159883448e-16,1.0
378us123,1.0,5.523371519441948e-15
378us530,1.0,3.066107373399474e-16
377us324,0.01977741812251993,0.9802225818774966
376us681,0.01967697625109981,0.9803230237488797
375us79,1.0,8.281030263496619e-15
377us436,1.0,5.108762963946049e-15
375us335,1.2163628649539784e-12,0.9999999999987494
377us13,1.7835199705276305e-10,0.9999999998216254
378us500,0.03885995276423432,0.9611400472357342
377us201,1.5532082034677492e-10,0.9999999998447038
377us1,0.010325411484925518,0.98967458851505
